,headline,lyrics,singer,word_count,verse_count,chorus_count,lines_in_chorus_count,avg_line_in_verse_count
265,I Love Rock 'N' Roll,hey  is this thing on   i saw him dancing there by the record machine  ah i knew he must have been about 17 the beat was going strong  playin' my favorite song i could tell it wouldn't be long till he was with me  yeah me  i could tell it wouldn't be long till he was with me  yeah me   singing i love rock 'n' roll so put another dime in the jukebox baby i love rock and roll so come and take the time and dance with me  owwwwwwwwwwww  he smiled so i got up and asked for his name but that don't matter he said 'cause it's all the same he said can i take ya home  where we can be alone and next we're moving on and he was with me  yeah me  we were movin' on and singing that same old song  yeah me   singing i love rock 'n' roll so put another dime in the jukebox baby i love rock and roll so come and take the time and dance with me  i love rock 'n' roll yeah so put another dime in the jukebox baby i love rock 'n' roll so cam and take the time and dance with me he said   can i take you home where we can be alone   and next we're movin' on and he was with me  yeah with me  and we were movin' on and singing that same old song  yeah with me   singing i love rock 'n' roll so put another dime in the jukebox baby i love rock and roll so come and take the time and dance with me  singing i love rock 'n' roll so put another dime in the jukebox baby i love rock and roll so come and take the time and dance with me  singing i love rock 'n' roll so put another dime in the jukebox baby i love rock and roll so come and take the time and dance with me  singing i love rock 'n' roll so put another dime in the jukebox baby i love rock and roll so come and take the time and dance with me  singing i love rock 'n' roll so put another dime in the jukebox baby i love rock and roll so come and take the time and dance with me,Britney Spearss,409,5,7,4,5.0
266,Cinderella,i used to be your girlfriend and i know i did it well oh yes  you know it's true you called me cinderella all you had to do was yell and i'd be there for you  here i am  so try to forgive me i don't believe in fairytales here we are  with nothin' but honesty i've had enough  i'm not gonna stay  i'm sorry for runnin' away like this and i'm sorry i've already made my wish ah  but cinderella's got to go  from time to time i tried to tell just what was on my mind you told me not today come back  do that  where's cinderella at   was all you had to say  here i am  so try to forgive me i don't believe in fairytales here we are  with nothin' but honesty i've had enough  i'm not gonna stay  i'm sorry for running away like this and i'm sorry i've already made my wish ah  but cinderella's got to go i'm sorry  just tryin' to live my life don't worry  you're gonna be all right but cinderella's got to go  i used to say i want you you cast me in your spell i did everything you wanted me to but now i shall break free from all your lies i won't be blind  you see my love  it can't be sacrificed i won't return to thee   i'm so sorry  i've already made up my mind  i won't return to thee  i'm sorry to say i'm runnin' away now don't worry  you will be all right i'm running away  i've made up my mind now you're gonna have to let me go 'cause she's got to go  i'm sorry for runnin' away like this and i'm sorry i've already made my wish ah  but cinderella's got to go i'm sorry  just tryin' to live my life don't worry  you're gonna be all right but cinderella's got to go,Britney Spearss,376,8,2,4,5.25
267,Let Me Be,you try to read me you try to figure out you try to breath me but you can't blow me out you try to feel me but i'm so out of touch i won't be falling you won't have to pick me up  sorry if i sound confused i don't feel the way you do but i won't turn around but i won't turn around  think that i might back down but i won't think that i might have doubts but i don't no insecurities won't you just let me  let me be  think that you know me now but you don't think that i  i can't stand on my own ain't my philosophy  aye  won't you just let me  let me be   trust in my instincts trust that i know what's right these are the reasons that keep you up at night  at night  tell me go slow this is my flow 'cause you don't know know what i know let me tell you how it feels baby it's time that you see me for real sorry if i sound confused i don't feel the way you do but i won't turn around  won't turn around  but i won't turn around  think that i might back down but i won't think that i might have doubts but i don't no insecurities won't you just let me  let me be  think that you know me now but you don't think that i  i can't stand on my own ain't my philosophy won't you just let me  let me be   trust that i know this is my show letting you know gotta go the way i go trust that i know this is my show letting you know gotta go the way i go  think that i might back down but i won't think that i might have doubts but i don't no insecurities won't you just let me  let me be  think that you know me now but you don't think that i  i can't stand on my own ain't my philosophy won't you just let me  let me be   think that i might back down but i won't think that i might have doubts but i don't no insecurities  no insecurities  won't you just let me  let me be  think that you know me now but you don't think that i  i can't stand on my own  yeah  i can't stand on my own  ain't my philosophy won't you just let me  let me be ,Britney Spearss,461,5,2,11,12.4
268,Bombastic Love,i am here to testify that you're the only one i belong to i don't know where to start it turned into an art not to show the world that it was you you made me realize not to compromise the fact that you and i should be i know we're gonna get  know we're gonna get   get   bombastic love so fantastic where i'm completely yours and you are mine and it's gonna be exactly like in a movie when we fall in love for the first time  don't know why i feel so insecure i never understood what it's good for i gotta make sure that madness won't stop me again i can't sit and wait anymore  you made me realize not to compromise the fact that you and i should meet i know we're gonna get  know we're gonna get   get   bombastic love so fantastic where i'm completely yours and you are mine and it's gonna be exactly like in a movie when we fall in love for the first time  it's gonna be bombastic love everything is gonna be all right when i'm yours and you are mine it's gonna be fantastic love when i wake up everything is still the same and you don't even know my name     i know it's gonna be  bombastic love so fantastic where i'm completely yours and you are mine and it's gonna be exactly like in a movie when we fall in love for the first time  i know we're gonna get  know we're gonna get   get   bombastic love so fantastic where i'm completely yours and you are mine and it's gonna be exactly like in a movie when we fall in love for the first time,Britney Spearss,327,6,4,5,4.33333333333
269,That's Where You Take Me,oh baby oh baby oh baby oh baby  in love no believe never found inside of me built these walls up so high needed my room to breathe  oh baby oh baby you tell them down can't believe you changed my mind oh baby oh baby i saw your smile stay with me awhile  all things fall into place my heart it feels so safe you are my melody that's where you take me with you i get so high lost in the crystal sky you are this melody that's where you take me  i never fell before how did you find the door  the key to my soul to you forever more  oh baby oh baby you make me rise never did i once think twice oh baby oh baby you make me smile stay with me awhile  afraid to let it all inside now i wanna hear you stay with me awhile stay with me awhile la la la la la la  3x   that's where you take me   repeat chorus till fade   ,Britney Spearss,179,9,0,0,4.11111111111
270,When I Found You,i believe we all have one true love somewhere in this world i do  i do  i do  i do  when it seemed all my dreams were falling through that's when i found you  i believe for every heart that whispers in the dark there's a ray of light somewhere shining through it was sink or swim when the tide came in i found myself  when i found you i found the closest thing to heaven yes i knew  i found the deepest love i knew ooh oh oh  oh i believe yes it's true i found myself when i found you  i believe  for every door  that's closing for every heartbreak there's hope for something new from the ashes rised  a glimpse of paradise it's a glimer in your eyes  when i found you i found the closest thing to heaven yes i knew  i found the deepest love i knew ooh oh oh  oh i believe  yes it's true i found myself  when i found you a life i thought no one knows i thought love was just the tingling of the skin i felt so alone  all alone more than you could ever know you showed deep love  sweet love  when i found you i found the closest thing to heaven i found the deepest love i knew i found the closest thing to heaven i found myself when i found you i found the closest thing to heaven yes i knew i found the deepest love i knew ooh oh oh  oh i believe  yes it's true i found myself when i found    you,Britney Spearss,276,7,0,0,6.28571428571
271,I Run Away,you took your love away too fast left no chance to say 'look back' now i know the truth  it makes it easier maybe when time goes by  i'll understand  let's pretend that i moved on then i'll tell myself that life goes on without you open my eyes  look deep inside i run away  i run away  i run away  you threw it all away  so blind pushed me far from you in your life and now i know the tears won't lead to loneliness maybe when time goes by  i'll understand  let's pretend that i moved on then i'll tell myself that life goes on without you open my eyes  look deep inside i run away  i run away  i run away  i run away  i run away    i run away     let's pretend that i moved on then i'll tell myself that life goes on without you open my eyes  look deep inside i run away  i run away  i run away  let's pretend that i moved on tell myself that life goes on without you open my eyes  look deep inside i run away  i run away  let's pretend that i moved on then i'll tell myself that life goes on without you,Britney Spearss,219,6,2,4,3.33333333333
272,What It's Like To Be Me, justin   do you know what it's like  c'mon  c'mon   britney   baby tell me do i look like the kind of girl that you wanna take home wanna make me your own do you even know what i like just what i'm living for  what i adore baby  take the time to realize i'm not the kind to sacrifice the way i am so if you wanna be my man  baby    britney and justin   walk a mile in my shoes do me right or i'm through can't you see that if you wanna stay around  i'm telling you  you've got to figure me out boy take the time or you loose this is my game  my rules and i can see  obviously  baby you don't know what it's like to be me   justin   do you know what it's like  do you know what it's like    britney   don't you get it twisted boy i want you too but you got my heart to win before i let you in if this deceives you baby i'm not the average lady i need someone to love  baby  take the time to realize i'm not the kind to sacrifice the way i am so if you wanna be my man  baby   walk a mile in my shoes do me right or i'm through can't you see that if you wanna stay around  i'm tellin' you  you've got to figure me out take the time or you loose this is my game  my rules and i can see  obviously  baby you don't know what it's like to be me  baby  to know me and you can show me that your love for me is true and i'll give you everything that a girl can give so don't you wanna be my man   walk a mile in my shoes do me right or i'm through can't you see that if you wanna stay around  i'm telling you  you've got to figure me out  you've got to figure me out baby  take the time or you loose this is my game  my rules  this is my game  and i can see  obviously  baby you don't know what it's like  no no you don't    breakdown   walk a mile in my shoes do me right or i'm through  this is my game baby  can't you see that if you wanna stay around you've got to figure me out  you've got to figure me out  take your time or you loose this is my game  my rules and i can see  obviously  baby you don't know what it's like  to be me ,Britney Spearss,477,11,0,0,7.0
273,Before The Goodbye,laying here in your arms and you hold me tight  tight trying not to watch the clock tick  tickin as the time goes by and i know that you best be on your way but i'm wishin i could make you stay stay with me for a while  though your near still i want to make it clear love  i will always be around  your leaving  i'm waiting forgive me i'm always missing you before the goodbye i feel it  already forgive me i'm always missing you before the goodbye  kind of hard for me to let you know seldom let my feelings show how much i will miss in you all the little things that make me weak your eyes and the way you speak without you baby i'm not me  though your near still i want to make it clear love  i will always be around  your leaving  i'm waiting forgive me i'm always missing you before the goodbye i feel it  already forgive me i'm always missing you before the goodbye  your leaving i'm waiting  forgive me i'm always missing you before the goodbye   ,Britney Spearss,197,3,2,3,5.66666666667
274,Me Against The Music, all my people in the crowd grab a partner take it down   it's me against the music  uh uh  it's just me  and me  yeah  c'mon   oh  hey britney   are you ready   uh uh  are you    uh   and no one cares  it's whippin' my hair  it's pullin' my waist  to hell with stares  the sweat is drippin' all over my face  and no one's there  i'm the only one dancin' up in this place  it's just me  tonight i'm here  feel the beat of the drum  gotta get with that bass  uh  i'm up against the speaker  tryin' to take on the music it's like a competition  me against the beat i wanna get in a zone  get in the zone i wanna get in a zone  wanna get in the zone if you really wanna battle  saddle up and get your rhythm tryin' to hit it  chic a taa in a minute i'm a take a you on  i'm a take a you on i'm a take a you on  i'm a take a you on   hey  hey  hey   all my people on the floor  let me see you dance  let me see ya  all my people wantin' more  let me see you dance  i wanna see ya  all my people round and round  let me see you dance  let me see ya  all my people in the crowd  let me see you dance  i wanna see ya    so how would you like a friendly competition   let's take on the song  let's take on the song  let's take on the song   it's you and me baby  we're the music   time to party all night long  all night long  all night long  oh  yeah  let's go   we're almost there  i'm feelin' it bad and i can't explain  my soul is bare  my hips are movin' at a rapid pace  baby feel it burn  from the tip of my toes  runnin' through my veins  ooh  and now's your turn  let me see what you got  don't hesitate  i'm up against the speaker  tryin' to take on the music it's like a competition  me against the beat i wanna get in a zone  get in the zone i wanna get in a zone  wanna get in the zone if you really wanna battle  saddle up and get your rhythm tryin' to hit it  chic a taa in a minute i'm a take a you on  i'm a take a you on i'm a take a you on  i'm a take a you on   hey  hey  hey   all my people on the floor  let me see you dance  let me see ya  all my people wantin' more  let me see you dance  i wanna see ya  all my people round and round  let me see you dance  let me see ya  all my people in the crowd  let me see you dance  i wanna see ya    get on the floor   baby lose control   yeah  just work your body   uh huh  and let it go   let it go  if you wanna party   just grab somebody   hey britney   we can dance all night long    hey britney  you say you wanna lose control   come over here i got somethin' to show ya   sexy lady  i'd rather see you bare your soul   if you think you're so hot  better show me what you got   all my people in the crowd  let me see you dance   c'mon britney lose control  watch you take it down    get on the floor  baby lose control   just work your body and let it go   if you wanna party  just grab somebody   hey britney   we can dance all night long   all my people on the floor  let me see you dance  let me see ya  all my people wantin' more  let me see you dance  i wanna see ya  all my people round and round  let me see you dance  let me see ya  all my people in the crowd  let me see you dance  i wanna see ya    all my people in the crowd  let me see you dance   c'mon britney take it down  make the music dance   all my people round and round  party all night long   c'mon britney lose control  watch you take it down ,Britney Spearss,771,9,2,1,6.55555555556
275,(I Got That) Boom Boom,speaking  the ying yang twins shout it we're gonna go to the club and get crunked with britney shout it she bangs  she bangs      spoken  britney  yeah this is for all those southern boys out there  whoo hoo whoo hoo whoo hoo  sung  i see you looking my way and i know that you have something to say watching every inch of my body like you wanted to play  so here we go   boom boom boy  you look so sexy  yeah  boom boom boy  you look so sexy i begin to dance just a little bit  uh  to turn you on yeah  i got that  i got that boom boom that you want what you need all night long hurry up before it's gone i got that boom boom that you want i don't think you should wait one minute might be too late  whoo hoo whoo hoo whoo hoo yeah  you have caught my eye and i wanted to get to know you don't be shy i want you to come closer so what you gonna do  so here we go   boom boom boy  you look so sexy  you look so damn sexy  boom boom boy  you look so sexy   ying yang twins  shorty she think she fine fine enough to blow your mind shorty she think she bad get on the floor and shake that ass shorty she think she fine fine enough to blow your mind shorty she think she bad get on the floor and shake that ass oh  twittle ittle ee twittle ittle ee twittle ittle ee twittle ittle ee twittle ittle ee twittle ittle ee shorty  get on the floor and shake that ass for me twittle ittle ee twittle ittle ee twittle ittle ee twittle ittle ee twittle ittle ee twittle ittle ee shorty  get on the floor and shake that ass for me  she naked she soaking wet strip tease like a mmm drip  sweat she got a little body that i can't forget i ain't met a young lady that outdid her yet britney spears and the ying yang twins wazup  ha we all became friends might as well let the party begin if you're ready then jump on in  shorty she think she fine fine enough to blow your mind shorty she think she bad get on the floor and shake that ass shorty she think she fine fine enough to blow your mind shorty she think she bad get on the floor and shake that ass   britney   boom boom boy  you look so sexy  damn  you're so sexy  boom boom boy  you look so sexy boom boom boy  you look so sexy  damn  you're turning me on boom boom boy  you look so sexy yeah  yeah,Britney Spearss,468,15,0,0,7.13333333333
276,Showdown, yeah  sometimes i just love to have that out  just something a girl's gotta do  oh   never thought i'd see you like this  you lookin' good when you're half dressed  just let me give you one last test  is that a sin  am i too hot for you though  did you check out my video  there's some things you don't know  like this  i'll take you to spend in my way  just give in when you are ready to play  uh  like this  here comes the showdown  what goes around comes around  and the crowds are waiting  oh  'cause if we break up then we can make up shake my booty all night  here comes the showdown  oh   i don't really wanna be a tease  but would you undo my zipper  please   uh uh  please don't talk  listen i'll let you touch me if you want  i see your body rise  rise and when you come  don't get too hot  butterfly   i'll take you to spend in my way  just give in when you are ready to play  uh  like this   here comes the showdown  what goes around comes around  and the crowds are waiting  oh  'cause if we break up then we can make up shake my booty all night  here comes the showdown  oh   look at the tension when we fight  you make it up  turn down the light  it's just a lover's game we play  yeah  after the screaming's at an end why don't we all do it again  that's when the fun really begins  oh  whoa   here comes the showdown  what goes around comes around  and the crowds are waiting  oh  'cause if we break up then we can make up shake my booty all night  why don't you   yeah    yeah    yeah    here comes the showdown  oh here comes the showdown what goes around comes around  and the crowds are waiting  oh    yeah  here comes the showdown  oh,Britney Spearss,342,9,2,7,5.11111111111
277,Breathe On Me,it's so hot in here  oh  it's so hot and i need some air and boy  don't stop 'cause i'm halfway there  it's not complicated we're too syncopated we can read each other's minds one love invited  two bodies sychronizin' don't even need to touch me  baby  just     breathe on me yeah  oh baby  just breathe on me we don't need to touch just breathe  oh  yeah  oh  this is way beyond the physical  way beyond the physical  tonight  my senses don't make sense at all  our imagination takin' us to places we have never been before take me in  let it out don't even need to touch me  baby  just     oh monogamy is the way to go just put your lips together and blow  breathe  breathe  breathe  breathe x4,Britney Spearss,143,9,2,1,2.77777777778
278,Early Mornin',spoken  all right  i was out a little late last night  got a little messy  can't be like that anymore  no  i was shaking my ass in the streets and moaning just walked in and it's early morning got drunk till the break of dawn and it don't stop till the early morning passed out on the couch and yawning just walked in  it was early morning got drunk till the break of dawn and it don't stop till the early morning  met a tall dude  kinda dark hair when he walked up somebody grabbed him but i liked him  told him  come here  kinda cool  baby  we can make plans where ya live  do ya mama live there  we can hook up at the hotel he was down  so i told him  let's go what happened next  guess' but  you don't wanna know  oh  i went out and i approached him but we couldn't get with his friends he was talking 'bout hittin' up a show so i said  what the hell  let's go  got up and got on the dance floor hooked up with a guy named joe when the music was fast and slow what happened next  guess' but  you don't wanna know  call all your boys call all your girls call all your friends let's do it again let's do it again  yes  early morning yes  can't keep doin' this  i light your fire  your one desire pull on me  baby and i'll take you higher you should try it  so come over here and let's go so  call all your boys call all your girls call all your friends let's do it again let's do it  early mornin' early mornin',Britney Spearss,309,9,0,0,5.33333333333
279,Toxic,baby  can't you see i'm calling  a guy like you should wear a warning it's dangerous  i'm falling there's no escape   i can't wait i need a hit   baby  give me it you're dangerous  i'm loving it  too high  can't come down losin' my head  spinnin' 'round and 'round do you feel me now   with the taste of your lips  i'm on a ride you're toxic i'm slippin' under with a taste of a poison paradise i'm addicted to you  don't you know that you're toxic  and i love what you do  don't you know that you're toxic   it's getting late to give you up i took a sip from a devil's cup slowly  it's taking over me  too high  can't come down it's in the air and it's all around can you feel me now   with the taste of your lips  i'm on a ride you're toxic i'm slippin' under with the taste of the poison paradise i'm addicted to you  don't you know that you're toxic  and i love what you do  don't you know that you're toxic  don't you know that you're toxic   taste of your lips  i'm on a ride you're toxic i'm slippin' under with the taste of a poison paradise i'm addicted to you  don't you know that you're toxic   with the taste of your lips  i'm on a ride you're toxic i'm slippin' under  toxic  with the taste of the poison paradise i'm addicted to you  don't you know that you're toxic   intoxicate me now with your lovin' now i think i'm ready now  i think i'm ready now  intoxicate me now with your lovin' now i think i'm ready now,Britney Spearss,334,9,0,0,4.44444444444
280,Outrageous,outrageous  when i move my body  outrageous  when i'm at a party  outrageous  in my sexy jeans  outrageous  when i'm on the scene  outrageous  my sex drive  outrageous  my shopping spree  outrageous  we're on a world tour  outrageous  that's b girl   outrageous sexy as i wanna be got these fellas chasin me it's about time i hit the street all my girls still feeling me  and b girl ain't lost the beat jumped over drama and i landed on my feet gotta keep going  no stopping me and if you don't like it then la la la la la la la  media over here coming through like a world premiere trenchcoat and my underwear let's go with this freak show  it's      i'm about to bring the heat locking down the industry aren't i super glamorous red carpets and cameras take trips around the globe tint's on my jeeps so nobody knows so hot that you're coming out your clothes now i'm about to give you la la la la la la la  media over here coming through like a world premiere trenchcoat and my underwear let's go with this freak show  it's      i just wanna be happy in a place where love is free can you take me there  somebody  ooh and when you mention my name make sure you know the truth  yeah until i vow to keep it forever,Britney Spearss,250,5,2,4,6.8
281,Touch Of My Hand,i'm not ashamed of the things that i dream i found myself flirting with the verge of obscene to the unknown i will be bold i'm going to the places i can be out of control  and i don't want to explain tonight all the things i've tried to hide i shut myself out from the world tonight and draw the blinds and i'll teach myself to fly  i love myself it's not a sin i can't control what's happening  'cause i just discovered imagination's taking over another day without a lover the more i come to understand the touch of my hand  the small of my back the arch of my feet lately i've been noticing the beautiful in me the mole in my skin and i'm not going away i'm in to myself in the most precious way  bridge and chorus,Britney Spearss,155,6,0,0,3.66666666667
282,The Hook Up,he was looking  say he wanna hook up but she don't wanna hook up told her  just go and then she looked and said she wanna hook up i really wanna hook up told her  let's go  baby  i can't believe everything your body makes me wanna do and the way that you move on the floor now i think i'm in love with you grab my waist wanna get with the rhythm and that move you do switch my hips on the floor take it slow so i can keep up with you  back it up now  bump your rump now  grab my waist now  work it out now  grab my shoulder  pick it up now  take it lower  to the floor now  hook up  baby we can drop a little somethin' ride it  baby we can do a little somethin' you know  baby let's hook up a little somethin'  baby  i can't believe everything that i feel when i dance with you feel the small of my back to the breath on my neck to the move you do put your body gotta get my body up right next to you move the party gotta rock the party until they're over you  back it up now  bump your rump now  grab my waist now  work it out now  grab my shoulder  pick it up now  take it lower  to the floor now  boy  i can't explain what you do to me my whole world has changed i live in a fantasy tonight  i'm in the mood please take me by your hand i wanna get in your groove so  baby  take me there  don't stop just get  get on the floor butt drops hips pop  poppin' for sure who's got  got it get it some more one time  two times  three times we go  back it up now  bump your rump now  grab my waist now  work it out now  grab my shoulder  pick it up now  take it lower  to the floor now  back it up now  bump your rump now  grab my waist now  work it out now  grab my shoulder  pick it up now  take it lower  to the floor now  hook up  baby we can drop a little somethin' ride it  baby we can do a little somethin' you know  baby let's hook up a little somethin'  back it up now  bump your rump now  grab my waist now  work it out now  grab my shoulder  pick it up now  take it lower  to the floor now,Britney Spearss,451,5,5,8,7.4
283,Shadow,your body's warm but you are not you give a little not a lot you coup your love until we kiss you're all i want but not like this  i'm watching you disappear but you  you were never here  it's only your shadow  never yourself it's only your shadow  nobody else it's only your shadow  filling the room arriving too late  and leaving too soon and leaving too soon     your body gives but then holds back the sun is bright  the sky is black can only be another sign i cannot keep what isn't mine  you left and it lingers on but you  you were almost gone  it's only your shadow  never yourself it's only your shadow  nobody else it's only your shadow  filling the room arriving too late  and leaving too soon and leaving too soon     i cannot tell if you mean what you say you say it so loud  but you sound far away maybe i had just a glimpse of your soul or was that your shadow i saw on the wall  i'm watching you disappear but you  you were never here  it's only your shadow  never yourself it's only your shadow  nobody else it's only your shadow  filling the room arriving too late no  no  no it's only your shadow it's only your shadow  nobody else it's only your shadow arriving too late and leaving too soon  it's only your shadow,Britney Spearss,255,6,2,5,4.0
284,Brave New Girl,she's gonna pack her bags she's gonna find her way she's gonna get right out of this she don't want new york she don't want l a  she's gonna find that special kiss she don't want no sleep she don't want no high oh  like peaches 'n' cream she's gonna wish on stars and touch the sky oh  you know what i mean  she wants a good time no need to rewind she needs to really really find what she wants she lands on both feet won't take a back seat there's a brave new girl and she's coming out tonight  she's gonna step outside uncover her eyes who knew she could feel so alive her m o 's changed she don't wanna behave ain't it good to be a brave girl tonight  tonight  it's all right a brave girl tonight  so she met this man he was kinda rough he said  girl  whatcha lookin' for she said  i don't know i go with the flow he said  let's get on the floor he said  you look real cute with your low ride jeans and your pink little baby tee let's get a room  girl come and ride with me  she wants a good time no need to rewind she needs to really really find what she wants she lands on both feet won't take a back seat there's a brave new girl and she's coming out tonight  tonight  it's all right a brave girl tonight tonight  it's all right a brave new girl tonight  tonight  it's all right a brave girl tonight tonight  it's all right a brave girl tonight a brave girl tonight a brave girl tonight,Britney Spearss,314,6,2,7,6.5
285,Everytime,notice me  take my hand  why are we strangers when  our love is strong  why carry on without me    every time i try to fly  i fall  without my wings  i feel so small  i guess i need you  baby  and every time i see you in my dreams  i see your face  it's haunting me  i guess i need you  baby   i make believe that you are here  it's the only way i see clear  what have i done   you seem to move on easy   and every time i try to fly  i fall  without my wings  i feel so small  i guess i need you  baby  and every time i see you in my dreams  i see your face  you're haunting me  i guess i need you  baby   i may have made it rain  please forgive me  my weakness caused you pain  and this song's my sorry   at night  i pray  that soon your face will fade away   and every time i try to fly  i fall  without my wings  i feel so small  i guess i need you  baby  and every time i see you in my dreams  i see your face  you're haunting me  i guess i need you  baby,Britney Spearss,209,7,0,0,4.57142857143
286,Me Against The Music (Rishi Rich's Desi Kulcha Remix),all my people all my people grab a partner  take it down   uh uh uh britney are you ready  huh huh  uh uh uh it's me against the music uh uh uh huh huh  it's just me and me uh uh uh yeah  c'mon let's go brrrrrrrrrrrrrrrrrrrr    hey hey hey hey hey hey hey hey hey hey hey hey hey hey it's me against the music hey hey hey hey  and no one cares it's whippin' my hair  it's pullin' my waist to hell with stares this sweat is drippin' all over my face and no one's there i'm the only one dancin' up in this place tonight i'm here feel the beat of the drum  gotta get with that bass  i'm up against the speaker  tryin' to take on my music it's like a competition  me against the beat i wanna get in the zone i wanna get in the zone  i wanna get in the zone  if you really wanna battle  saddle up and get your rhythm tryin' to hit  you could die in a minute  i'm a take a ya on i'm a take a ya on  i'm a take a ya on   hey hey hey   all my people on the floor let me see you dance  let me see ya  all my people wantin' more let me see you dance  i wanna see ya  all my people round and round let me see you dance  let me see ya  all my people in the crowd let me see you dance  i wanna see ya   so how would you like a friendly competition  let's take on the song  let's take on the song   let's take on the song  it's you and me  baby we're the music time to party all night long  all night long   all night long   brrrrrrrrrrrrrrrrrrrr     we're almost there i'm feelin' it bad and i can't explain my soul is bare my hips are movin' at a rapid pace baby  feel it burn from the tip of my toes  runnin' through my veins and now's your turn let me see what ya got  don't hesitate  i'm up against the speaker  tryin' to take on my music it's like a competition  me against the beat i wanna get in the zone i wanna get in the zone if ya really wanna battle  saddle up and get your rhythm tryin' to hit it  you could die in a minute  i'm a take a ya on i'm a take a ya on brrrrrrrrrrrrrrrrrrrr     hey hey hey   get on the floor baby  lose control just work your body and let it go  let it go  if you wanna party just grab somebody  hey britney  we can dance all night long  hey  britney you say you wanna lose control come over here  i got somethin' to show ya sexy lady  i'd rather see you bare your soul if you think you're so hot  better show me what ya got  all my people in the crowd let me see you dance c'mon  britney  lose control watch you take it down  get on the floor baby  lose control just work your body and let it go brrrrrrrrrrrrrrrrrrrr    if you wanna party just grab somebody  hey britney  we can dance all night long  all my people in the crowd let me see you dance c'mon  britney  take it down make the music blast all my people round and round party all night long c'mon  britney  lose control watch you take it down  hey hey it's me against the music hey hey it's me against the music brrrrrrrrrrrrrrrrrrrr    hey hey it's just me and me  all my people in the crowd grab a partner  take it down all my people all my people grab a partner  take it down    madonna laughing ,Britney Spearss,687,17,0,0,8.0
287,The Answer,yeah  i've been waiting for you so patiently and now you're here oh  you're my answer thank you  yeah  oh i think you're my answer uh  here i go  you're the answer all this time i've tried to find you i've been yearnin'  i've been yearning inside  you're the answer to the question that's been burning  i've been burning inside  when they ask me who i love you're the answer  you're my answer  you're my answer  patiently i've waited for this day to finally come knowing someday somehow i would find that special one someone perfect  someone true  someone that i knew  was you  i knew it was you   who can hold me tight  keep me warm  through the night who can wipe my tears  when it's wrong  make it right who can give me love  till i'm satisfied who's the one i need in my life  you're the answer all this time i've tried to find you i've been yearnin'  i've been yeaning inside  you're the answer to the question that's been burning  i've been burning inside  when they ask me who i love you're the answer  you're the answer baby  you're my answer  i can hardly speak because i'm underneath your spell saving every moment that i have you to myself putting my love to the test 'cause baby this is destiny  yeah  this is destiny   you can hold me tight  keep me warm  through the night you can wipe my tears  when its wrong  make it right you can give me love  till i'm satisfied you're the one i need in my life  you're the answer all this time i've tried to find you i've been yearnin'  i've been yearning  you're the answer to the question that's been burning  i've been burning inside  when they ask me who i love you're the answer  you're my answer  you're my answer  you're my answer   you're the answer  yeah  all this time i've tried to find you i've been yearnin'  i've been yearning for you  you're the answer to the question that's been burning  burning  when they ask me who i love you're the answer  you're the answer  you're my answer  who can hold me tight  keep me warm  through the night  who can wipe my tears  when it's wrong  make it right  who can give me love  till i'm satisfied  who's the one i need in my life   you're my answer   you're the answer  you're the answer  all this time i've tried to find you i've been yearnin'  i've been yearning  you're the answer to the question that's been burnin'  that's been burning  when they ask me who i love you're the answer  the answer baby  you're my answer  you're the answer  you're my answer you're my answer  you're my answer  yeah  you're my answer,Britney Spearss,542,13,0,0,5.15384615385
288,Don't Hang Up,baby i'm lying all alone a pillow is all i have to hold i can't feel you god  it isn't fair without you i still wanna take you there  don't hang up it's just gettin' serious damn  you're makin' me delirious don't hang up until i'm finished with you i'm not alone don't hang up i'm not alone i can still feel you even when i'm lonely and now i'm coming too don't hang up i'm not alone i can still feel you feel you when i'm lonely and now i'm coming too  tell me  tell me  tell me what you see  see  feel me  feel me  feel me underneath slowly we began to breathe hold on hold on to your release  don't hang up it's just gettin' serious damn  you're makin' me delirious don't hang up until i'm finished with you i'm not alone don't hang up i'm not alone i can still feel you even when i'm lonely and now i'm coming too don't hang up i'm not alone i can still feel you feel you when i'm lonely and now i'm coming too  you're far away but we'll find a way ooh baby now let's make it right  right  now close your eyes  damn    don't hang up it's just gettin' serious damn  you're makin' me delirious don't hang up until i'm finished with you i'm not alone don't hang up i'm not alone i can still feel you even when i'm lonely and now i'm coming too don't hang up  yeah  i'm not alone  hey  i can still feel you  hey  feel you when i'm lonely  oh  and now i'm coming too  don't hang up  i'm not alone  do you feel me too   even when i'm lonely  close your eyes     now i'm coming too   i'm not alone   i can still feel you   even when i'm lonely   now i'm coming too ,Britney Spearss,375,5,2,16,9.4
